Region,Year,Proj_Fatalities,Proj_Injured,Proj_Roads_Damaged_km,Proj_Bridges_Damaged,Proj_Houses_Damaged,Proj_Livestock_Lost,Est_Affected_Min,Est_Affected_Max,Tents_Req_Min,Tents_Req_Max,Water_Liters_Min,Water_Liters_Max,MedicalComps_Req_Min,MedicalComps_Req_Max
Punjab,2023,191,3858,896.0,16,66971,205106,4120568,5574885,686761,929148,61808520,83623275,51507,69686
Punjab,2024,197,3974,922.9,16,68980,211259,4225622,5717018,704270,952836,63384330,85755270,52820,71463
Punjab,2025,202,4089,949.8,17,70989,217412,4330676,5859150,721779,976525,64960140,87887250,54133,73239
Punjab,2026,208,4205,976.6,17,72998,223566,4435731,6001283,739288,1000214,66535965,90019245,55447,75016
Punjab,2027,214,4321,1003.5,18,75008,229719,4540785,6143415,756798,1023902,68111775,92151225,56760,76793
Punjab,2028,220,4437,1030.4,18,77017,235872,4645840,6285548,774307,1047591,69687600,94283220,58073,78569
Punjab,2029,225,4552,1057.3,19,79026,242025,4750894,6427680,791816,1071280,71263410,96415200,59386,80346
Punjab,2030,231,4668,1084.2,19,81035,248178,4855948,6569813,809325,1094969,72839220,98547195,60699,82123
