Region,Year,Proj_Fatalities,Proj_Injured,Proj_Roads_Damaged_km,Proj_Bridges_Damaged,Proj_Houses_Damaged,Proj_Livestock_Lost,Est_Affected_Min,Est_Affected_Max,Tents_Req_Min,Tents_Req_Max,Water_Liters_Min,Water_Liters_Max,MedicalComps_Req_Min,MedicalComps_Req_Max
Sindh,2023,678,8422,8398.0,165,1717788,216683,12709545,17195267,2118258,2865878,190643175,257929005,158869,214941
Sindh,2024,698,8675,8649.9,170,1769322,223183,13072269,17686011,2178712,2947668,196084035,265290165,163403,221075
Sindh,2025,719,8927,8901.9,175,1820855,229684,13434992,18176755,2239165,3029459,201524880,272651325,167937,227209
Sindh,2026,739,9180,9153.8,180,1872389,236184,13797716,18667498,2299619,3111250,206965740,280012470,172471,233344
Sindh,2027,759,9433,9405.8,185,1923923,242685,14160440,19158242,2360073,3193040,212406600,287373630,177006,239478
Sindh,2028,780,9685,9657.7,190,1975456,249185,14523164,19648986,2420527,3274831,217847460,294734790,181540,245612
Sindh,2029,800,9938,9909.6,195,2026990,255686,14885887,20139730,2480981,3356622,223288305,302095950,186074,251747
Sindh,2030,820,10191,10161.6,200,2078523,262186,15248611,20630474,2541435,3438412,228729165,309457110,190608,257881
