Region,Year,Proj_Fatalities,Proj_Injured,Proj_Roads_Damaged_km,Proj_Bridges_Damaged,Proj_Houses_Damaged,Proj_Livestock_Lost,Est_Affected_Min,Est_Affected_Max,Tents_Req_Min,Tents_Req_Max,Water_Liters_Min,Water_Liters_Max,MedicalComps_Req_Min,MedicalComps_Req_Max
Balochistan,2023,299,181,1850.0,22,65997,500000,9586051,12969363,1597675,2161560,143790765,194540445,119826,162117
Balochistan,2024,308,186,1905.5,23,67977,515000,9855070,13333329,1642512,2222222,147826050,199999935,123188,166667
Balochistan,2025,317,192,1961.0,23,69957,530000,10124088,13697296,1687348,2282883,151861320,205459440,126551,171216
Balochistan,2026,326,197,2016.5,24,71937,545000,10393107,14061263,1732184,2343544,155896605,210918945,129914,175766
Balochistan,2027,335,203,2072.0,25,73917,560000,10662126,14425230,1777021,2404205,159931890,216378450,133277,180315
Balochistan,2028,344,208,2127.5,25,75897,575000,10931145,14789196,1821858,2464866,163967175,221837940,136639,184865
Balochistan,2029,353,214,2183.0,26,77876,590000,11200164,15153163,1866694,2525527,168002460,227297445,140002,189415
Balochistan,2030,362,219,2238.5,27,79856,605000,11469183,15517130,1911530,2586188,172037745,232756950,143365,193964
