Region,Year,Proj_Fatalities,Proj_Injured,Proj_Roads_Damaged_km,Proj_Bridges_Damaged,Proj_Houses_Damaged,Proj_Livestock_Lost,Est_Affected_Min,Est_Affected_Max,Tents_Req_Min,Tents_Req_Max,Water_Liters_Min,Water_Liters_Max,MedicalComps_Req_Min,MedicalComps_Req_Max
KP,2023,306,369,1575.0,107,91463,21328,7520677,10175034,1253446,1695839,112810155,152625510,94008,127188
KP,2024,315,380,1622.2,110,94207,21968,7727735,10455171,1287956,1742528,115916025,156827565,96597,130690
KP,2025,324,391,1669.5,113,96951,22608,7934793,10735308,1322466,1789218,119021895,161029620,99185,134191
KP,2026,334,402,1716.8,117,99695,23248,8141850,11015445,1356975,1835908,122127750,165231675,101773,137693
KP,2027,343,413,1764.0,120,102439,23887,8348908,11295582,1391485,1882597,125233620,169433730,104361,141195
KP,2028,352,424,1811.2,123,105182,24527,8555966,11575718,1425994,1929286,128339490,173635770,106950,144696
KP,2029,361,435,1858.5,126,107926,25167,8763024,11855855,1460504,1975976,131445360,177837825,109538,148198
KP,2030,370,446,1905.8,129,110670,25807,8970081,12135992,1495014,2022665,134551215,182039880,112126,151700
